panoid,lat,lon,year,month,img_path,angle,type,img_name,conf,bbox,LLM
08mT9SQh2Gyji2_hCq4lMA,-1.27888989630709,36.82388224510673,2021,8,0/8/,90,GSVI,08mT9SQh2Gyji2_hCq4lMA_90,"[0.7127178907394409, 0.6263904571533203]","[[205.0335235595703, 155.95928955078125, 294.65557861328125, 218.15386962890625], [0.6754493713378906, 208.14500427246094, 160.2689971923828, 248.05899047851562]]",1.0
0Cl1ty8xnBUhc66lj6NArQ,-1.211389032382183,36.89706559149232,2018,2,0/C/,180,GSVI,0Cl1ty8xnBUhc66lj6NArQ_180,[0.5645236968994141],"[[0.0, 177.41244506835938, 356.1062316894531, 270.4767150878906]]",1.0
0Esn5VdDgrnwLq5QLT98Uw,-1.262652841045349,36.85270001158589,2018,2,0/e/,270,GSVI,0Esn5VdDgrnwLq5QLT98Uw_270,"[0.4747867286205292, 0.3638016879558563]","[[287.28192138671875, 183.95799255371094, 400.0, 300.0], [308.1024475097656, 219.12928771972656, 399.7732238769531, 300.0]]",1.0
0MJc-J3O8hpPMCKVsPPBAQ,-1.210307516171243,36.92616434764756,2021,9,0/m/,90,GSVI,0MJc-J3O8hpPMCKVsPPBAQ_90,[0.5242933630943298],"[[333.73724365234375, 186.84832763671875, 399.9293518066406, 300.0]]",1.0
0MJc-J3O8hpPMCKVsPPBAQ,-1.210307516171243,36.92616434764756,2021,9,0/m/,180,GSVI,0MJc-J3O8hpPMCKVsPPBAQ_180,"[0.889965295791626, 0.6080548763275146, 0.3041868805885315]","[[0.8828926086425781, 178.9049530029297, 179.5645751953125, 299.89593505859375], [302.32666015625, 198.01284790039062, 377.0295715332031, 298.31390380859375], [301.2554016113281, 162.58790588378906, 380.5852355957031, 298.2984924316406]]",1.0
0NhW7tWqoccDUkFBtcu-Ug,-1.229445094238453,36.93020917297147,2018,2,0/N/,0,GSVI,0NhW7tWqoccDUkFBtcu-Ug_0,[0.550642728805542],"[[176.16213989257812, 183.5081787109375, 399.19598388671875, 300.0]]",1.0
0RCmqz9GkmcAaAjnzHgOSg,-1.285917046181927,36.82122480595739,2017,12,0/r/,0,GSVI,0RCmqz9GkmcAaAjnzHgOSg_0,[0.42045584321022034],"[[228.6163330078125, 156.61962890625, 301.3652648925781, 201.9213104248047]]",1.0
0Rdo1RqvAXXa7REMIMQehg,-1.155356905257549,36.93378734443136,2021,12,0/r/,0,GSVI,0Rdo1RqvAXXa7REMIMQehg_0,[0.8043028116226196],"[[94.22277069091797, 194.48397827148438, 205.8813018798828, 239.6233673095703]]",1.0
0ZQb05AhjlJ0pySWDa5KeA,-1.280807505052103,36.84463124294173,2021,8,0/Z/,90,GSVI,0ZQb05AhjlJ0pySWDa5KeA_90,"[0.6079965233802795, 0.5259037017822266, 0.4451613426208496]","[[204.9969482421875, 230.07662963867188, 398.5235595703125, 299.77191162109375], [29.504928588867188, 231.2981414794922, 400.0, 297.882080078125], [0.0, 235.5546875, 185.1573486328125, 300.0]]",1.0
0mJM6N3YY0IRMNn-0Xbl1Q,-1.298677971098524,36.86261846312581,2021,8,0/m/,180,GSVI,0mJM6N3YY0IRMNn-0Xbl1Q_180,[0.5342965722084045],"[[303.6566162109375, 227.22117614746094, 399.3407287597656, 299.3270568847656]]",1.0
0mRJR4K8DJxouUugtf9Ttg,-1.263611519119926,36.8618651392309,2018,1,0/m/,180,GSVI,0mRJR4K8DJxouUugtf9Ttg_180,[0.6379232406616211],"[[58.10429000854492, 184.61383056640625, 185.3437042236328, 216.70443725585938]]",1.0
0qo9wT9kF3jUEt7t18V8tg,-1.304119007289964,36.91434758253163,2018,4,0/Q/,90,GSVI,0qo9wT9kF3jUEt7t18V8tg_90,"[0.6470358967781067, 0.38549673557281494]","[[22.041358947753906, 200.3209991455078, 397.1218566894531, 296.18792724609375], [28.663311004638672, 187.09803771972656, 228.11831665039062, 245.92913818359375]]",1.0
0rKI5gB_5fHcwJ8Z_bzr0g,-1.307697590958272,36.89461594569629,2018,4,0/r/,180,GSVI,0rKI5gB_5fHcwJ8Z_bzr0g_180,"[0.4172191321849823, 0.29225608706474304]","[[28.1292724609375, 216.5684814453125, 399.991455078125, 297.816162109375], [217.67417907714844, 229.94888305664062, 399.3418884277344, 299.88409423828125]]",1.0
0wHG7Mx2Lg-yQXFSx5fQIQ,-1.247384662538281,36.89105145515769,2018,2,0/w/,180,GSVI,0wHG7Mx2Lg-yQXFSx5fQIQ_180,[0.49311667680740356],"[[0.0, 212.06024169921875, 340.6817932128906, 299.21490478515625]]",1.0
0wVhfzcSTdNRNNiHKWhKGw,-1.263907140947766,36.86095434261315,2018,2,0/w/,180,GSVI,0wVhfzcSTdNRNNiHKWhKGw_180,[0.41127869486808777],"[[23.626365661621094, 179.08396911621094, 400.0, 300.0]]",1.0
0znPm6dkBKIOaCWjaW4Yrg,-1.280290683255511,37.04628647921258,2021,10,0/Z/,90,GSVI,0znPm6dkBKIOaCWjaW4Yrg_90,[0.5105727910995483],"[[46.01067352294922, 240.61256408691406, 149.08909606933594, 290.39398193359375]]",1.0
142d4wz9X93XHuB6h5GGlQ,-1.481978797231135,36.95579852807128,2022,3,1/4/,90,GSVI,142d4wz9X93XHuB6h5GGlQ_90,[0.2575673460960388],"[[162.16644287109375, 178.4240264892578, 400.0, 300.0]]",1.0
1516LCV-ahcVNTHohHzkLA,-1.217546495460102,36.89522122555352,2018,2,1/5/,0,GSVI,1516LCV-ahcVNTHohHzkLA_0,[0.2760467529296875],"[[83.26042175292969, 205.19839477539062, 165.28765869140625, 271.9395446777344]]",1.0
19RJCT6hQ6H6ry2BLWwSlA,-1.299972368477145,36.89056562852087,2018,4,1/9/,270,GSVI,19RJCT6hQ6H6ry2BLWwSlA_270,"[0.5109787583351135, 0.3466031849384308]","[[33.33137512207031, 212.26051330566406, 400.0, 298.381103515625], [201.26190185546875, 214.67453002929688, 400.0, 299.9050598144531]]",1.0
1Ae3hgZH-XTR4o_tydYrLA,-1.275716637056379,36.96180628721831,2021,8,1/a/,90,GSVI,1Ae3hgZH-XTR4o_tydYrLA_90,[0.3287161886692047],"[[328.3287048339844, 201.7330780029297, 399.73907470703125, 299.21075439453125]]",1.0
1IOohD9ys28ItaRapIZ_HA,-1.261894937500659,36.8034812051204,2018,5,1/i/,90,GSVI,1IOohD9ys28ItaRapIZ_HA_90,[0.6818471550941467],"[[5.775642395019531, 154.36439514160156, 397.86199951171875, 300.0]]",1.0
1IOohD9ys28ItaRapIZ_HA,-1.261894937500659,36.8034812051204,2018,5,1/i/,180,GSVI,1IOohD9ys28ItaRapIZ_HA_180,[0.3859822452068329],"[[0.3513145446777344, 139.73204040527344, 137.95321655273438, 299.4993591308594]]",1.0
1LaYvJRdEacIHwHkQfcWBg,-1.331109624589518,36.89335063536874,2021,8,1/L/,90,GSVI,1LaYvJRdEacIHwHkQfcWBg_90,[0.7065943479537964],"[[208.40087890625, 188.51611328125, 400.0, 300.0]]",1.0
1LaYvJRdEacIHwHkQfcWBg,-1.331109624589518,36.89335063536874,2021,8,1/L/,180,GSVI,1LaYvJRdEacIHwHkQfcWBg_180,[0.8060485124588013],"[[0.003986358642578125, 194.72976684570312, 276.9468994140625, 298.155517578125]]",1.0
1NGSKzvAnUSx6cvuT6vf8w,-1.317916741280627,36.82968577854884,2021,9,1/N/,90,GSVI,1NGSKzvAnUSx6cvuT6vf8w_90,[0.3699395954608917],"[[266.0400085449219, 175.2909698486328, 395.8566589355469, 215.99557495117188]]",1.0
1NrsD4-6QJhtl8PEHQTQMQ,-1.24262869339385,36.89490102525271,2018,2,1/N/,180,GSVI,1NrsD4-6QJhtl8PEHQTQMQ_180,[0.6907665729522705],"[[274.7894287109375, 204.0869140625, 399.4309997558594, 240.867919921875]]",1.0
1SKp32GIWDotjtP3BWV0mQ,-1.251889678402188,36.71639662249427,2021,8,1/s/,0,GSVI,1SKp32GIWDotjtP3BWV0mQ_0,[0.6574479937553406],"[[262.2029113769531, 188.86924743652344, 399.4352722167969, 232.79502868652344]]",1.0
1UlGKxBT4cLDMFB2Ge-VUg,-1.282196520645542,36.94913017791188,2021,8,1/U/,0,GSVI,1UlGKxBT4cLDMFB2Ge-VUg_0,[0.7377526164054871],"[[194.4715118408203, 202.3992919921875, 343.8606872558594, 267.7389221191406]]",1.0
1UqfrkE5OvO9QA5PRHhmLw,-1.326534757667237,36.8907097355409,2018,4,1/U/,90,GSVI,1UqfrkE5OvO9QA5PRHhmLw_90,[0.4744987189769745],"[[1.133890151977539, 248.4776611328125, 133.5883331298828, 300.0]]",1.0
1Xr_fZZVXlGaQ_6RQQTmEw,-1.314062391131858,36.91011154071823,2021,7,1/x/,0,GSVI,1Xr_fZZVXlGaQ_6RQQTmEw_0,[0.6314688920974731],"[[166.5684814453125, 177.93975830078125, 243.0431671142578, 198.8653564453125]]",1.0
1ZRTAoyWWCNgKp3751-11A,-1.207526996001906,36.93782461374786,2021,9,1/Z/,90,GSVI,1ZRTAoyWWCNgKp3751-11A_90,"[0.5498530864715576, 0.37681102752685547]","[[219.63897705078125, 239.93348693847656, 400.0, 299.8060302734375], [26.46404266357422, 240.4491729736328, 399.4366455078125, 296.95892333984375]]",1.0
1eV7PcL8CmqI6Wu1OnWMbg,-1.392017921897495,36.78187527419719,2018,2,1/e/,90,GSVI,1eV7PcL8CmqI6Wu1OnWMbg_90,[0.3360380530357361],"[[211.24842834472656, 151.1985626220703, 400.0, 300.0]]",1.0
1nu9F8jFT1_S7CAFEK-KJw,-1.202164132168662,36.90407894512468,2018,2,1/N/,270,GSVI,1nu9F8jFT1_S7CAFEK-KJw_270,[0.3150879442691803],"[[0.9661960601806641, 160.3197479248047, 131.1175079345703, 201.53427124023438]]",1.0
1qC6c0pJ30cidY3bTiyASA,-1.307234067264429,36.83079982863971,2018,1,1/Q/,0,GSVI,1qC6c0pJ30cidY3bTiyASA_0,"[0.620598554611206, 0.27288752794265747, 0.26244837045669556]","[[159.92007446289062, 151.84860229492188, 400.0, 265.2884521484375], [161.9622344970703, 149.81455993652344, 400.0, 225.18519592285156], [161.76971435546875, 162.18711853027344, 249.16488647460938, 197.0868682861328]]",1.0
1qC6c0pJ30cidY3bTiyASA,-1.307234067264429,36.83079982863971,2018,1,1/Q/,90,GSVI,1qC6c0pJ30cidY3bTiyASA_90,"[0.5784750580787659, 0.421895295381546, 0.3337423801422119, 0.3227073848247528]","[[0.0, 172.3743438720703, 173.87680053710938, 278.8472595214844], [0.0, 171.7815399169922, 294.6796875, 277.94744873046875], [191.89227294921875, 172.46102905273438, 292.8292541503906, 227.40927124023438], [6.535377502441406, 163.73858642578125, 400.0, 289.3388671875]]",1.0
1qC6c0pJ30cidY3bTiyASA,-1.307234067264429,36.83079982863971,2018,1,1/Q/,270,GSVI,1qC6c0pJ30cidY3bTiyASA_270,[0.37177085876464844],"[[271.2033996582031, 159.2918243408203, 399.33966064453125, 224.49539184570312]]",1.0
1uisTMnZe2QgAHVdfeqSmg,-1.474706889837197,36.95387233312508,2022,3,1/U/,90,GSVI,1uisTMnZe2QgAHVdfeqSmg_90,"[0.6434735059738159, 0.5297312140464783]","[[65.60538482666016, 170.623046875, 221.25987243652344, 210.1842041015625], [0.0, 262.7008056640625, 140.4139862060547, 300.0]]",1.0
1x-QlgsmCnlUFWZI5IN_iQ,-1.275609364767314,36.94655984118567,2018,2,1/x/,90,GSVI,1x-QlgsmCnlUFWZI5IN_iQ_90,[0.3426740765571594],"[[124.11820220947266, 196.01016235351562, 231.3304901123047, 247.05287170410156]]",1.0
258i_rK3cqtRldaUBf9N9w,-1.288479535146481,36.87976623538417,2021,7,2/5/,180,GSVI,258i_rK3cqtRldaUBf9N9w_180,"[0.4502665102481842, 0.41292497515678406]","[[312.2295227050781, 213.2657470703125, 400.0, 252.07174682617188], [0.8428192138671875, 187.75306701660156, 188.14517211914062, 298.7275695800781]]",1.0
2CJJV6qEkcfSMqT_OOuTrw,-1.30679608415528,36.78310280365243,2018,3,2/C/,0,GSVI,2CJJV6qEkcfSMqT_OOuTrw_0,[0.34213101863861084],"[[299.766845703125, 166.119140625, 399.5171203613281, 202.43356323242188]]",1.0
2FvCvEji2ye6Yjv04EusTg,-1.208751226125065,36.87299082421525,2018,2,2/f/,0,GSVI,2FvCvEji2ye6Yjv04EusTg_0,[0.6948955059051514],"[[188.4825439453125, 195.54977416992188, 399.90203857421875, 288.6453552246094]]",1.0
2GKKUh2pv8E6ftVTSRteDg,-1.284757024518007,36.90360419951397,2018,4,2/g/,270,GSVI,2GKKUh2pv8E6ftVTSRteDg_270,"[0.5562925934791565, 0.42945006489753723]","[[98.67034912109375, 193.0483856201172, 218.99749755859375, 225.56463623046875], [307.3295593261719, 152.29156494140625, 399.5268859863281, 192.5439453125]]",1.0
2LL1VHux3YxzhmLIMkZkFQ,-1.275609123808798,36.84585567684728,2018,1,2/L/,0,GSVI,2LL1VHux3YxzhmLIMkZkFQ_0,"[0.5670709609985352, 0.3692905306816101]","[[6.2009429931640625, 177.7154541015625, 396.8083190917969, 287.11517333984375], [0.6309413909912109, 167.2003173828125, 89.33209991455078, 299.14013671875]]",1.0
2N4qmz9BYB1ysasS-ndQEg,-1.311812121181128,36.89199651006628,2018,4,2/N/,0,GSVI,2N4qmz9BYB1ysasS-ndQEg_0,[0.6018147468566895],"[[73.92478942871094, 170.89541625976562, 400.0, 299.81646728515625]]",1.0
2QBHD5fgd3th9_29FR7bSg,-1.20738515372852,36.82309492959167,2021,8,2/Q/,0,GSVI,2QBHD5fgd3th9_29FR7bSg_0,"[0.5946353673934937, 0.5227355360984802]","[[7.4139404296875, 214.6440887451172, 395.90887451171875, 300.0], [227.89614868164062, 214.97642517089844, 399.1113586425781, 299.2870178222656]]",1.0
2QDtxHui9jH9kThXfxnv0A,-1.25427501407918,36.93626528934944,2021,8,2/Q/,0,GSVI,2QDtxHui9jH9kThXfxnv0A_0,[0.42972490191459656],"[[0.29761314392089844, 207.20703125, 64.39579010009766, 299.9927062988281]]",1.0
2QOIi1Q6klN_bBC_cv6k7w,-1.210357080230731,36.89625969231962,2018,2,2/Q/,90,GSVI,2QOIi1Q6klN_bBC_cv6k7w_90,[0.8255599737167358],"[[114.3926773071289, 176.97608947753906, 195.94398498535156, 250.58448791503906]]",1.0
2R2yc2b6dZO_LMKWsbeQ7w,-1.494121823620753,36.96914693055194,2022,3,2/r/,0,GSVI,2R2yc2b6dZO_LMKWsbeQ7w_0,[0.6101487278938293],"[[73.93270111083984, 204.28390502929688, 168.2088623046875, 255.01223754882812]]",1.0
2S2sbG6JvaPI2CBgqxcBmQ,-1.179301200194832,36.91062718377538,2018,2,2/s/,270,GSVI,2S2sbG6JvaPI2CBgqxcBmQ_270,[0.812102198600769],"[[14.011855125427246, 226.44737243652344, 152.45443725585938, 295.829833984375]]",1.0
2gd7xvqWKZ_Br_JI7KsAaQ,-1.320578478004651,36.87234669878556,2018,1,2/g/,0,GSVI,2gd7xvqWKZ_Br_JI7KsAaQ_0,"[0.5609150528907776, 0.2675980031490326]","[[124.66819763183594, 198.1695556640625, 398.342041015625, 252.22000122070312], [188.83563232421875, 198.20994567871094, 400.0, 262.1957702636719]]",1.0
2gzEKj6duAC3nikF64bzAA,-1.264368062524055,36.8398984516222,2018,2,2/g/,90,GSVI,2gzEKj6duAC3nikF64bzAA_90,[0.29988518357276917],"[[322.7052307128906, 198.98440551757812, 399.97076416015625, 299.2568054199219]]",1.0
2gzEKj6duAC3nikF64bzAA,-1.264368062524055,36.8398984516222,2018,2,2/g/,180,GSVI,2gzEKj6duAC3nikF64bzAA_180,[0.26619264483451843],"[[6.372184753417969, 201.78759765625, 400.0, 259.1680603027344]]",1.0
2j4GENckjN5cXmoSKdxBwQ,-1.265643166941552,36.89857175648812,2018,2,2/j/,0,GSVI,2j4GENckjN5cXmoSKdxBwQ_0,[0.3505977690219879],"[[327.7516174316406, 204.0078887939453, 399.8515319824219, 299.90875244140625]]",1.0
2m5RC3-OprJh79inaaHaDg,-1.276766359970758,36.91989353710782,2018,2,2/m/,90,GSVI,2m5RC3-OprJh79inaaHaDg_90,[0.7569046020507812],"[[158.71299743652344, 153.6402130126953, 400.0, 300.0]]",1.0
2m5RC3-OprJh79inaaHaDg,-1.276766359970758,36.91989353710782,2018,2,2/m/,180,GSVI,2m5RC3-OprJh79inaaHaDg_180,"[0.8423761129379272, 0.6027958393096924]","[[0.867462158203125, 158.3383026123047, 156.08583068847656, 300.0], [180.0249481201172, 236.409912109375, 339.9442138671875, 300.0]]",1.0
2n_z5N88S83EcCrOdf0xDw,-1.248182031446368,36.89148680889895,2018,2,2/N/,180,GSVI,2n_z5N88S83EcCrOdf0xDw_180,[0.7351362109184265],"[[1.0762977600097656, 221.18463134765625, 103.8399887084961, 300.0]]",1.0
2n_z5N88S83EcCrOdf0xDw,-1.248182031446368,36.89148680889895,2018,2,2/N/,270,GSVI,2n_z5N88S83EcCrOdf0xDw_270,"[0.697987973690033, 0.31814754009246826]","[[237.9669952392578, 206.89688110351562, 337.1222229003906, 246.97393798828125], [144.64111328125, 269.7333068847656, 301.8279113769531, 299.9279479980469]]",1.0
2r92WcNNM_nJr6ffM5eOYQ,-1.201572668442614,36.92008459123022,2018,2,2/r/,270,GSVI,2r92WcNNM_nJr6ffM5eOYQ_270,"[0.5155115723609924, 0.3517582416534424, 0.2799796760082245]","[[0.0, 217.0799560546875, 394.4493713378906, 277.6379089355469], [2.6318359375, 236.83021545410156, 186.92832946777344, 295.789794921875], [68.79131317138672, 222.18511962890625, 291.57843017578125, 273.4340515136719]]",1.0
2tQ-qLvNjY25rzCjqtgBZg,-1.255365435027388,36.89295008735974,2018,2,2/t/,90,GSVI,2tQ-qLvNjY25rzCjqtgBZg_90,"[0.43484506011009216, 0.25235673785209656]","[[243.52989196777344, 229.72552490234375, 379.3643493652344, 289.5714111328125], [125.4787826538086, 229.693603515625, 384.7818603515625, 296.85589599609375]]",1.0
35uRwFOlpVWq4dB4jZwraQ,-1.203830997699246,36.91699919902931,2021,9,3/5/,270,GSVI,35uRwFOlpVWq4dB4jZwraQ_270,[0.5028408169746399],"[[152.7605743408203, 121.75019836425781, 399.80548095703125, 195.08323669433594]]",1.0
363QPzpiYWxJCEzxxOZ-IQ,-1.207074311221247,36.88184178550734,2021,9,3/6/,0,GSVI,363QPzpiYWxJCEzxxOZ-IQ_0,[0.6477944254875183],"[[139.625732421875, 151.49526977539062, 280.1008605957031, 201.61630249023438]]",1.0
37MOK2PCPIwNAcf4S1FWMQ,-1.280528490314528,36.74229767294214,2018,3,3/7/,90,GSVI,37MOK2PCPIwNAcf4S1FWMQ_90,[0.6978203654289246],"[[216.29298400878906, 199.2521209716797, 399.729736328125, 300.0]]",1.0
37MOK2PCPIwNAcf4S1FWMQ,-1.280528490314528,36.74229767294214,2018,3,3/7/,180,GSVI,37MOK2PCPIwNAcf4S1FWMQ_180,[0.35607218742370605],"[[47.64671325683594, 212.17201232910156, 400.0, 284.8683776855469]]",1.0
3DdSxRz0XC2sm-eGGjH7zw,-1.26938319518321,36.9222270867855,2021,8,3/d/,180,GSVI,3DdSxRz0XC2sm-eGGjH7zw_180,[0.4485844075679779],"[[9.940261840820312, 157.34246826171875, 375.2061767578125, 224.89462280273438]]",1.0
3ED_odsx6-d234d9C3UGKA,-1.252278179487831,36.88655973413766,2021,8,3/e/,0,GSVI,3ED_odsx6-d234d9C3UGKA_0,[0.6741845607757568],"[[0.7817173004150391, 198.39442443847656, 134.166015625, 284.2162780761719]]",1.0
3JWPgFQ20whJJEafepiixQ,-1.231790256193854,36.88442620998167,2018,2,3/j/,270,GSVI,3JWPgFQ20whJJEafepiixQ_270,[0.3211643695831299],"[[234.72659301757812, 149.55023193359375, 398.3485412597656, 206.94686889648438]]",1.0
3Jb_OIF2OF3LszkcFMvz8g,-1.312125686229465,36.83633443037216,2018,1,3/j/,90,GSVI,3Jb_OIF2OF3LszkcFMvz8g_90,[0.7116073966026306],"[[1.8871879577636719, 172.5273895263672, 120.39554595947266, 212.06466674804688]]",1.0
3L6aCQqRf5I33XCISEPp4w,-1.364231546221859,36.65570704175683,2018,4,3/L/,0,GSVI,3L6aCQqRf5I33XCISEPp4w_0,[0.31708386540412903],"[[193.42918395996094, 189.0305633544922, 400.0, 300.0]]",1.0
