lat,lon,sub_county,ward,feature,garbage/garbage_type,garbage/garbage_ownership,_capture_the_location_precision,garbage/other_garbage_type,garbage/other_garbage_ownership,comments,description,combined_description
-1.3199344,36.883753,Embakasi South,Imara Daima,garbage point,illegal dumping,other,4.62,,along the river,,,
-1.3197965,36.8947099,Embakasi South,Pipeline,garbage point,illegal dumping,public land,4.557,,,It is not pleasing.,,It is not pleasing.
-1.3194283,36.8821333,Embakasi South,Imara Daima,garbage point,holding ground,community,4.6,,,,,
-1.3192143,36.8934344,Embakasi South,Kware,garbage point,holding ground,private,4.824,,,,,
-1.3189179,36.8845935,Embakasi South,Imara Daima,garbage point,illegal dumping,community,5.0,,,,,
-1.3188571,36.7769277,Lang'ata,Mugumo-ini,garbage point,illegal dumping,community,4.68,,,migingo estate,migingo estate,migingo estate
-1.3184772,36.7818414,Lang'ata,Mugumo-ini,garbage point,holding ground,community,4.805,,,raila village estate,raila village estate,raila village estate
-1.3184638,36.8933483,Embakasi South,Kware,garbage point,illegal dumping,private,4.392,,,,,
-1.3183942,36.8386844,Starehe,Nairobi South,garbage point,illegal dumping,public land,4.38,,,,,
-1.3181819,36.7835835,Lang'ata,Mugumo-ini,garbage point,illegal dumping,public land,3.88,,,road reserve,road reserve,road reserve
-1.3178969,36.799213,Lang'ata,Nyayo Highrise,garbage point,illegal dumping,public land,4.045,,,,,
-1.3174488,36.7782453,Lang'ata,Mugumo-ini,garbage point,other,community,4.581,Illegal dumping and Bin,,cause of river pollution,,cause of river pollution
-1.3174159,36.8195599,Lang'ata,Nairobi West,garbage point,illegal dumping,public land,4.258,,,,,
-1.3168668,36.838659,Starehe,Nairobi South,garbage point,illegal dumping,public land,2.957,,,,,
-1.3167599,36.8134123,Lang'ata,Nairobi West,garbage point,illegal dumping,public land,4.39,,,,,
-1.315837,36.8918857,Embakasi South,Pipeline,garbage point,holding ground,private,4.975,,,,,
-1.315521,36.9157312,Embakasi East,Utawala,garbage point,collection point,public land,4.673,,,,,
-1.315431,36.9140498,Embakasi East,Utawala,garbage point,illegal dumping,public land,4.683,,,,,
-1.3154267,36.8383341,Starehe,Nairobi South,garbage point,illegal dumping,public land,2.175,,,,,
-1.315349,36.7988314,Lang'ata,Nyayo Highrise,garbage point,illegal dumping,public land,4.942,,,,,
-1.31519,36.8031198,Lang'ata,Nyayo Highrise,garbage point,illegal dumping,public land,4.751,,,,,
-1.3151797,36.8953795,Embakasi East,Utawala,garbage point,illegal dumping,private,4.95,,,,,
-1.3148323,36.8910788,Embakasi South,Pipeline,garbage point,holding ground,private,4.884,,,,,
-1.314064,36.8902858,Embakasi South,Kware,garbage point,holding ground,private,4.874,,,,,
-1.3138837,36.8383967,Starehe,Nairobi South,garbage point,illegal dumping,public land,4.7,,,,,
-1.31377,36.8382383,Starehe,Nairobi South,garbage point,illegal dumping,public land,4.0,,,,,
-1.3132796,36.7898226,Kibra,Lindi,garbage point,illegal dumping,public land,4.645,,,very bad condition,,very bad condition
-1.3132548,36.8498305,Starehe,Landimawe,garbage point,illegal dumping,public land,3.816,,,Illegal dumping at Crescent Bridge and along Ngong' river Mukuru Kayaba informal settlement,Illegal dumping at Crescent Bridge and along Ngong' river Mukuru Kayaba informal settlement,Illegal dumping at Crescent Bridge and along Ngong' river Mukuru Kayaba informal settlement
-1.3130915,36.8353274,Starehe,Nairobi South,garbage point,illegal dumping,public land,3.807,,,,,
-1.3126134,36.8354,Starehe,Nairobi South,garbage point,illegal dumping,public land,3.186,,,,,
-1.3125684,36.8353917,Starehe,Nairobi South,garbage point,illegal dumping,public land,4.729,,,,,
-1.3124156,36.835366,Starehe,Nairobi South,garbage point,illegal dumping,public land,3.8,,,,,
-1.3123672,36.8893696,Embakasi South,Kware,garbage point,holding ground,private,4.762,,,,,
-1.312214,36.8422093,Starehe,Nairobi South,garbage point,collection point,public land,2.437,,,,,
-1.3121805,36.8571396,Starehe,Landimawe,garbage point,illegal dumping,public land,3.829,,,This is an illegal dumping site along Migwani road.,This is an illegal dumping site along Migwani road.,This is an illegal dumping site along Migwani road.
-1.3120961,36.8864378,Embakasi South,Kware,garbage point,collection point,private,4.503,,,,,
-1.3120568,36.8880403,Embakasi South,Kware,garbage point,illegal dumping,private,4.986,,,,,
-1.3117096,36.7932269,Kibra,Laini Saba,garbage point,illegal dumping,public land,4.669,,,,,
-1.3116044,36.8499555,Starehe,Landimawe,garbage point,collection point,public land,4.659,,,This is a collection point at Kayaba stage along Enterprise road.,This is a collection point at Kayaba stage along Enterprise road.,This is a collection point at Kayaba stage along Enterprise road.
-1.3115755,36.8376757,Starehe,Nairobi South,garbage point,illegal dumping,public land,4.482,,,,,
-1.3110604,36.7881487,Kibra,Lindi,garbage point,holding ground,public land,4.339,,,not maintained,,not maintained
-1.3110446,36.8885422,Embakasi South,Pipeline,garbage point,holding ground,private,4.586,,,,,
-1.3109619,36.7878935,Kibra,Makina,garbage point,illegal dumping,public land,7.677,,,,,
-1.3107447,36.8456915,Starehe,Landimawe,garbage point,holding ground,public land,3.959,,,An holding ground by Green Army for holding waste awaiting collection.,An holding ground by Green Army for holding waste awaiting collection.,An holding ground by Green Army for holding waste awaiting collection.
-1.3107197,36.8479623,Starehe,Landimawe,garbage point,illegal dumping,public land,4.604,,,Illegal dumping near Timsales wall along Enterprise road,Illegal dumping near Timsales wall along Enterprise road,Illegal dumping near Timsales wall along Enterprise road
-1.3099923,36.8444971,Starehe,Landimawe,garbage point,holding ground,public land,4.004,,,An holding ground by Green Army for holding solid waste awaiting collection by trucks.,An holding ground by Green Army for holding solid waste awaiting collection by trucks.,An holding ground by Green Army for holding solid waste awaiting collection by trucks.
-1.3095056,36.8619112,Makadara,Viwandani,garbage point,holding ground,private,4.671,,,Private company,,Private company
-1.3092484,36.8445078,Starehe,Landimawe,garbage point,illegal dumping,public land,3.699,,,Illegal dumping near office of the Chief Mukuru Kayaba Location off Enterprise road,Illegal dumping near office of the Chief Mukuru Kayaba Location off Enterprise road,Illegal dumping near office of the Chief Mukuru Kayaba Location off Enterprise road
-1.3085431,36.863891,Makadara,Viwandani,garbage point,collection point,public land,3.854,,,,,
-1.3083504,36.8789252,Makadara,Viwandani,garbage point,collection point,public land,4.719,,,Open air burning is a major challenge,,Open air burning is a major challenge
-1.3072454,36.7334073,Dagoretti South,Ng'ando,garbage point,illegal dumping,private,4.952,,,Fencing required,,Fencing required
-1.3063287,36.7890081,Kibra,Makina,garbage point,holding ground,public land,0.735,,,should be closed down,,should be closed down
-1.3062158,36.821721,Lang'ata,Nairobi West,garbage point,illegal dumping,public land,4.611,,,,,
-1.3057454,36.7856936,Kibra,Makina,garbage point,holding ground,public land,2.15,,,needs fencing,,needs fencing
-1.305698,36.7376182,Dagoretti South,Ng'ando,garbage point,illegal dumping,community,4.968,,,,,
-1.304752,36.8302585,Starehe,Landimawe,garbage point,holding ground,public land,4.307,,,An holding ground for Green Army at Dundori road,An holding ground for Green Army at Dundori road,An holding ground for Green Army at Dundori road
-1.304317,36.8392502,Starehe,Landimawe,garbage point,illegal dumping,public land,4.455,,,Illegal dumping at Dakar road junction,Illegal dumping at Dakar road junction,Illegal dumping at Dakar road junction
-1.3034084,36.7323163,Dagoretti South,Ng'ando,garbage point,illegal dumping,public land,3.866,,,,,
-1.3031106,36.8881969,Embakasi East,Upper Savanna,garbage point,illegal dumping,other,4.645,,outering road donholm near equity bank,,outering road donholm near equity bank	,outering road donholm near equity bank	
-1.3027407,36.7376729,Dagoretti South,Ng'ando,garbage point,holding ground,private,4.99,,,Not fenced,,Not fenced
-1.3001478,36.7576411,Dagoretti South,Ng'ando,garbage point,illegal dumping,public land,3.903,,,Dumping on major roads is rampant,Dumping on major roads is rampant,Dumping on major roads is rampant
-1.2999555,36.8490689,Makadara,Makongeni,garbage point,collection point,public land,4.797,,,,,
-1.2997531,36.8872329,Embakasi East,Upper Savanna,garbage point,illegal dumping,public land,4.288,,,This illegal dumping point is bad and action need to be taken,,This illegal dumping point is bad and action need to be taken
-1.2993294,36.7574613,Dagoretti South,Ng'ando,garbage point,holding ground,public land,4.655,,,Huge waste loads with frequent dumpings,Huge waste loads with frequent dumpings,Huge waste loads with frequent dumpings
-1.2990268,36.8602237,Makadara,Makongeni,garbage point,holding ground,public land,2.923,,,,,
-1.2985295,36.8447916,Makadara,Makongeni,garbage point,illegal dumping,public land,1.771,,,,,
-1.298473,36.8640175,Makadara,Makongeni,garbage point,illegal dumping,public land,4.675,,,,,
-1.2982797,36.8934602,Embakasi East,Upper Savanna,garbage point,illegal dumping,public land,4.012,,,,,
-1.2982297,36.7586461,Dagoretti South,Ng'ando,garbage point,illegal dumping,public land,4.004,,,Rampant dumpings,Rampant dumpings,Rampant dumpings
-1.2981041,36.758262,Dagoretti South,Ng'ando,garbage point,illegal dumping,public land,3.79,,,Illegal businesses around the area,,Illegal businesses around the area
-1.2976869,36.8638031,Makadara,Makongeni,garbage point,illegal dumping,community,2.4,,,On the road side within residential area,,On the road side within residential area
-1.2971667,36.8631754,Makadara,Makongeni,garbage point,illegal dumping,public land,3.641,,,,,
-1.2965409,36.7561616,Dagoretti South,Ng'ando,garbage point,illegal dumping,public land,4.621,,,Dumping due to drainage clearing,Dumping due to drainage clearing,Dumping due to drainage clearing
-1.2954408,36.7555779,Dagoretti South,Ng'ando,garbage point,illegal dumping,public land,4.83,,,Rampant dumping along the road,Rampant dumping along the road,Rampant dumping along the road
-1.2939686,36.7540506,Dagoretti South,Ng'ando,garbage point,illegal dumping,public land,4.662,,,Dumping is usually rampant,Dumping is usually rampant,Dumping is usually rampant
-1.2938974,36.7947387,Dagoretti North,Kilimani,garbage point,illegal dumping,private,2.883,,,,,
-1.293844,36.8626423,Makadara,Maringo/ Hamza,garbage point,illegal dumping,public land,4.881,,,,,
-1.2935397,36.8623276,Makadara,Maringo/ Hamza,garbage point,bin,public land,4.994,,,,,
-1.2932766,36.8378549,Starehe,Landimawe,garbage point,collection point,public land,4.732,,,Collection point for solid waste awaiting trucks collection and transportation to Dandora dumpsite,Collection point for solid waste awaiting trucks collection and transportation to Dandora dumpsite,Collection point for solid waste awaiting trucks collection and transportation to Dandora dumpsite
-1.2931231,36.8362157,Starehe,Landimawe,garbage point,holding ground,private,4.889,,,An holding ground for the Green army along Factory street,An holding ground for the Green army along Factory street,An holding ground for the Green army along Factory street
-1.2929245,36.9009467,Embakasi East,Upper Savanna,garbage point,illegal dumping,public land,4.719,,,To be collected,,To be collected
-1.2927747,36.9014992,Embakasi East,Upper Savanna,garbage point,illegal dumping,public land,4.776,,,,,
-1.2927511,36.9008447,Embakasi East,Upper Savanna,garbage point,collection point,public land,4.11,,,,,
-1.2926852,36.8170355,Dagoretti North,Kilimani,garbage point,bin,public land,72.576,,,,,
-1.2926703,36.8170414,Dagoretti North,Kilimani,garbage point,bin,public land,37.445,,,,,
-1.2924916,36.8380938,Starehe,Landimawe,garbage point,illegal dumping,public land,4.162,,,Illegal dumping on public land owned by Kenya Railways Cooperation,Illegal dumping on public land owned by Kenya Railways Cooperation,Illegal dumping on public land owned by Kenya Railways Cooperation
-1.2923338,36.8157833,Dagoretti North,Kilimani,garbage point,bin,public land,95.053,,,,,
-1.2920372,36.820513,Dagoretti North,Kilimani,garbage point,bin,public land,31.62,,,,,
-1.2919776,36.9014058,Embakasi East,Upper Savanna,garbage point,illegal dumping,public land,4.708,,,,,
-1.2919595,36.8151344,Dagoretti North,Kilimani,garbage point,bin,public land,87.6,,,,,
-1.2919144,36.8203624,Dagoretti North,Kilimani,garbage point,bin,public land,29.584,,,,,
-1.2919096,36.8201881,Dagoretti North,Kilimani,garbage point,bin,public land,34.261,,,,,
-1.2916378,36.9016224,Embakasi East,Upper Savanna,garbage point,illegal dumping,public land,5.0,,,,,
-1.291486,36.9010211,Embakasi East,Upper Savanna,garbage point,illegal dumping,public land,4.103,,,,,
-1.29134,36.8153534,Dagoretti North,Kilimani,garbage point,bin,public land,9.0,,,,,
-1.2912185,36.9019783,Embakasi East,Upper Savanna,garbage point,illegal dumping,public land,5.0,,,,,
-1.291214,36.815647,Dagoretti North,Kilimani,garbage point,bin,public land,8.2,,,,,
-1.2909785,36.8708978,Makadara,Harambee,garbage point,holding ground,public land,3.933,,,,,
-1.2909425,36.8159735,Dagoretti North,Kilimani,garbage point,bin,public land,9.2,,,,,
-1.290654,36.8156986,Dagoretti North,Kilimani,garbage point,bin,public land,7.9,,,,,
-1.2905405,36.90448,Embakasi East,Upper Savanna,garbage point,illegal dumping,public land,4.845,,,,,
-1.2903465,36.8162103,Dagoretti North,Kilimani,garbage point,bin,public land,7.966,,,,,
-1.290295,36.818525,Dagoretti North,Kilimani,garbage point,bin,public land,374.653,,,,,
-1.2902656,36.814314,Dagoretti North,Kilimani,garbage point,illegal dumping,public land,8.733,,,,,
-1.2902017,36.8155183,Dagoretti North,Kilimani,garbage point,bin,public land,154.569,,,,,
-1.2901375,36.8155537,Dagoretti North,Kilimani,garbage point,bin,public land,6.35,,,,,
-1.2901315,36.9019066,Embakasi East,Upper Savanna,garbage point,illegal dumping,public land,4.916,,,,,
-1.2900764,36.8161154,Dagoretti North,Kilimani,garbage point,bin,public land,9.94,,,,,
-1.2899599,36.8121686,Dagoretti North,Kilimani,garbage point,illegal dumping,public land,6.46,,,,,
-1.2899407,36.8120801,Dagoretti North,Kilimani,garbage point,illegal dumping,public land,15.213,,,,,
-1.289858,36.7769815,Dagoretti North,Kileleshwa,garbage point,bin,private,4.93,,,,,
-1.2898132,36.8463177,Kamukunji,Pumwani,garbage point,holding ground,public land,2.885,,,Need for collection,,Need for collection
-1.2897639,36.8168786,Dagoretti North,Kilimani,garbage point,bin,public land,3.7,,,,,
-1.2896746,36.846725,Kamukunji,Pumwani,garbage point,collection point,public land,2.685,,,Need to be collected,,Need to be collected
-1.2896717,36.9027878,Embakasi East,Upper Savanna,garbage point,illegal dumping,private,4.592,,,An action to be taken here,,An action to be taken here
-1.2891321,36.8231647,Dagoretti North,Kilimani,garbage point,collection point,public land,87.6,,,,,
-1.2888819,36.8900394,Embakasi West,Umoja I,garbage point,collection point,community,3.433,,,,,
-1.288819,36.8152232,Dagoretti North,Kilimani,garbage point,bin,public land,3.542,,,,,
-1.2888174,36.8030329,Dagoretti North,Kilimani,garbage point,holding ground,public land,38.471,,,,,
-1.2887488,36.8151962,Dagoretti North,Kilimani,garbage point,bin,public land,3.8,,,,,
-1.2887447,36.8230603,Dagoretti North,Kilimani,garbage point,bin,public land,76.927,,,,,
-1.2886789,36.8151163,Dagoretti North,Kilimani,garbage point,collection point,public land,4.55,,,,,
-1.2883027,36.8029296,Dagoretti North,Kilimani,garbage point,illegal dumping,public land,10.855,,,,,
-1.288192,36.8346271,Starehe,Nairobi Central,garbage point,collection point,public land,2.448,,,A big hip it needs urgent collection,,A big hip it needs urgent collection
-1.2881031,36.8744543,Makadara,Harambee,garbage point,holding ground,public land,4.3,,,,,
-1.2880974,36.8449461,Kamukunji,Pumwani,garbage point,illegal dumping,public land,1.179,,,Illegal dumping ground,,Illegal dumping ground
-1.2879588,36.9045592,Embakasi East,Upper Savanna,garbage point,illegal dumping,public land,4.824,,,,,
-1.2876946,36.8162309,Dagoretti North,Kilimani,garbage point,bin,public land,2.383,,,,,
-1.2876224,36.83121,Starehe,Nairobi Central,garbage point,collection point,public land,1.776,,,The state is not that bad,,The state is not that bad
-1.2875991,36.8116065,Dagoretti North,Kilimani,garbage point,holding ground,public land,18.518,,,,,
-1.2874497,36.8141114,Dagoretti North,Kilimani,garbage point,bin,private,86.896,,,,,
-1.2874326,36.8114486,Dagoretti North,Kilimani,garbage point,collection point,public land,3.9,,,,,
-1.2873933,36.8284366,Starehe,Nairobi Central,garbage point,illegal dumping,public land,5.5,,,,,
-1.2872934,36.7480036,Dagoretti North,Kawangware,garbage point,collection point,public land,2.2,,,,,
-1.287193,36.7478689,Dagoretti North,Kawangware,garbage point,collection point,public land,4.05,,,The site should be rehabilitated and later moved,,The site should be rehabilitated and later moved
-1.2871353,36.8731751,Makadara,Harambee,garbage point,holding ground,public land,2.662,,,,,
-1.2870378,36.8445479,Kamukunji,Pumwani,garbage point,illegal dumping,public land,5.482,,,Illegally dumped solid waste in Nairobi river,,Illegally dumped solid waste in Nairobi river
-1.286894,36.8531731,Kamukunji,Eastleigh South,garbage point,bin,private,5.473,,,,,
-1.2865498,36.813463,Dagoretti North,Kilimani,garbage point,collection point,public land,62.097,,,,,
-1.2863409,36.8190605,Dagoretti North,Kilimani,garbage point,bin,public land,90.51,,,,,
-1.2861135,36.8884285,Embakasi West,Umoja I,garbage point,illegal dumping,community,5.0,,,,,
-1.2859524,36.8138444,Dagoretti North,Kilimani,garbage point,illegal dumping,public land,13.28,,,Should be closed,,Should be closed
-1.2857007,36.7548079,Dagoretti North,Gatina,garbage point,illegal dumping,public land,22.945,,,,,
-1.2854844,36.8704129,Makadara,Harambee,garbage point,holding ground,public land,4.886,,,,,
-1.2852059,36.8466641,Kamukunji,Pumwani,garbage point,collection point,public land,0.917,,,Need to be cleared,,Need to be cleared
-1.2848683,36.9000675,Embakasi East,Upper Savanna,garbage point,illegal dumping,public land,4.768,,,,,
-1.2845805,36.9005236,Embakasi East,Upper Savanna,garbage point,illegal dumping,public land,4.673,,,,,
-1.2844586,36.8122551,Dagoretti North,Kilimani,garbage point,illegal dumping,public land,30.874,,,,,
-1.2843553,36.7420489,Dagoretti North,Kawangware,garbage point,illegal dumping,public land,3.86,,,,,
-1.2843522,36.7420573,Dagoretti North,Kawangware,garbage point,illegal dumping,public land,2.566,,,,,
-1.2842961,36.745881,Dagoretti North,Kabiro,garbage point,illegal dumping,public land,3.56,,,,,
-1.2842122,36.8724757,Makadara,Harambee,garbage point,collection point,public land,4.35,,,,,
-1.2841664,36.8203314,Starehe,Nairobi Central,garbage point,collection point,public land,1.936,,,Not bad state though no proper arrangement of the skips,No proper arrangement of the skips,No proper arrangement of the skips | Not bad state though no proper arrangement of the skips
-1.2841625,36.8278784,Starehe,Nairobi Central,garbage point,bin,other,5.44,,luthuli avenue,,,
-1.2837206,36.812066,Dagoretti North,Kilimani,garbage point,illegal dumping,public land,32.27,,,,,
-1.2837155,36.8458503,Kamukunji,Pumwani,garbage point,holding ground,private,1.642,,,Need to collect the waste frequently,,Need to collect the waste frequently
-1.2836732,36.828936,Starehe,Nairobi Central,garbage point,collection point,public land,7.78,,,,,
-1.2836186,36.8860834,Embakasi West,Umoja I,garbage point,holding ground,public land,2.46,,,,,
-1.2835193,36.8118343,Dagoretti North,Kilimani,garbage point,bin,public land,98.4,,,,,
-1.2835142,36.8913807,Embakasi West,Umoja II,garbage point,collection point,public land,4.64,,,Power Line,,Power Line
-1.2834257,36.8878042,Embakasi West,Umoja I,garbage point,holding ground,public land,4.112,,,,,
-1.2833756,36.7534854,Dagoretti North,Gatina,garbage point,illegal dumping,public land,4.125,,,,,
-1.2832806,36.7535436,Dagoretti North,Gatina,garbage point,illegal dumping,public land,4.618,,,,,
-1.2832032,36.9025806,Embakasi East,Upper Savanna,garbage point,illegal dumping,public land,4.876,,,,,
-1.2831961,36.8234735,Starehe,Nairobi Central,garbage point,bin,public land,5.8,,,,,
-1.2831811,36.8917351,Embakasi West,Umoja I,garbage point,collection point,community,4.62,,,,,
-1.2830023,36.8121465,Dagoretti North,Kilimani,garbage point,illegal dumping,public land,43.238,,,,,
-1.2827645,36.6900618,Dagoretti South,Uthiru/Ruthimitu,garbage point,holding ground,public land,3.425,,,Well maintained,,Well maintained
-1.2827391,36.8890729,Embakasi West,Umoja I,garbage point,bin,public land,4.6,,,,,
-1.2826438,36.8105279,Dagoretti North,Kilimani,garbage point,bin,private,3.55,,,Community,,Community
-1.282558,36.8105616,Dagoretti North,Kilimani,garbage point,bin,private,12.048,,,Community bin,,Community bin
-1.2819117,36.8093812,Dagoretti North,Kilimani,garbage point,illegal dumping,public land,1200.0,,,,,
-1.2818741,36.7484735,Dagoretti North,Gatina,garbage point,illegal dumping,public land,4.564,,,.,,.
-1.281856,36.8243665,Starehe,Nairobi Central,garbage point,bin,other,5.8,,lagos depot,,,
-1.2818451,36.8242323,Starehe,Nairobi Central,garbage point,bin,other,5.7,,nccg,,,
-1.2818174,36.8123649,Dagoretti North,Kilimani,garbage point,illegal dumping,public land,32.995,,,,,
-1.2817897,36.7425421,Dagoretti North,Kawangware,garbage point,illegal dumping,public land,3.14,,,,,
-1.2816387,36.8139439,Dagoretti North,Kilimani,garbage point,bin,public land,33.101,,,,,
-1.2815529,36.8121018,Dagoretti North,Kilimani,garbage point,bin,public land,59.122,,,,,
-1.2813901,36.8257733,Starehe,Nairobi Central,garbage point,bin,public land,5.816,,,,,
-1.2813768,36.6956071,Dagoretti South,Uthiru/Ruthimitu,garbage point,illegal dumping,public land,10.566,,,No comment,,No comment
-1.2810564,36.742515,Dagoretti North,Kawangware,garbage point,collection point,public land,5.0,,,The site is illegal and should be cleared,,The site is illegal and should be cleared
-1.2806088,36.7494674,Dagoretti North,Gatina,garbage point,illegal dumping,public land,4.46,,,,,
-1.2805603,36.7159928,Dagoretti South,Waithaka,garbage point,other,private,24.207,Illegal discharge,,Discharge from residential plots,,Discharge from residential plots
-1.2805135,36.8104084,Dagoretti North,Kilimani,garbage point,bin,public land,9.6,,,,,
-1.2803726,36.7157841,Dagoretti South,Waithaka,garbage point,illegal dumping,public land,1.697,,,Illegal dumping from mkokoteni users,,Illegal dumping from mkokoteni users
-1.2800941,36.8091207,Dagoretti North,Kilimani,garbage point,holding ground,private,29.075,,,,,
-1.2798925,36.7515692,Dagoretti North,Gatina,garbage point,collection point,public land,4.84,,,Dada Mary collection point,Dada Mary collection point,Dada Mary collection point
-1.2798675,36.7515727,Dagoretti North,Gatina,garbage point,collection point,public land,2.4,,,,,
-1.2794467,36.8296489,Starehe,Ngara,garbage point,holding ground,community,4.2,,,,,
-1.2794313,36.7509432,Dagoretti North,Kabiro,garbage point,illegal dumping,private,4.875,,,,,
-1.2792773,36.8182501,Starehe,Nairobi Central,garbage point,collection point,public land,31.756,,,The place is in a good state,,The place is in a good state
-1.279144,36.7508754,Dagoretti North,Kabiro,garbage point,illegal dumping,private,3.08,,,,,
-1.2791149,36.8329836,Starehe,Ngara,garbage point,collection point,public land,5.0,,,,,
-1.2790315,36.8307621,Starehe,Ngara,garbage point,illegal dumping,public land,4.7,,,,,
-1.2789976,36.8986742,Embakasi West,Umoja II,garbage point,illegal dumping,public land,4.8,,,,,
-1.2788262,36.8106168,Dagoretti North,Kilimani,garbage point,holding ground,private,16.492,,,,,
-1.2786228,36.8461949,Kamukunji,Eastleigh North,garbage point,collection point,public land,4.828,,,,,
-1.2780985,36.89564,Embakasi West,Umoja II,garbage point,illegal dumping,public land,4.96,,,,,
-1.2778502,36.8304212,Starehe,Ngara,garbage point,illegal dumping,public land,4.9,,,,,
-1.2769539,36.8277829,Starehe,Ngara,garbage point,holding ground,public land,3.7,,,,,
-1.2768198,36.9212858,Embakasi Central,Kayole North Central,garbage point,collection point,public land,5.0,,,It's an important point that helps in waste management within Embakasi Central,,It's an important point that helps in waste management within Embakasi Central
-1.2768044,36.7913661,Dagoretti North,Kileleshwa,garbage point,holding ground,public land,3.987,,,"1.Classification bins should be put to ensure environmental cleanliness.
2.Boundaries should be put to avoid spillage
3.Collection should be done regularly to avoid forming a dumpsite.",,"1.Classification bins should be put to ensure environmental cleanliness.
2.Boundaries should be put to avoid spillage
3.Collection should be done regularly to avoid forming a dumpsite."
-1.2766305,36.8224943,Starehe,Ngara,garbage point,illegal dumping,public land,4.3,,,,,
-1.2760299,36.8251251,Starehe,Ngara,garbage point,illegal dumping,public land,4.4,,,,,
-1.2759823,36.7924824,Dagoretti North,Kileleshwa,garbage point,bin,private,4.92,,,,,
-1.2759579,36.8190213,Starehe,Ngara,garbage point,illegal dumping,public land,5.0,,,,,
-1.2757681,36.8299351,Starehe,Ngara,garbage point,illegal dumping,community,4.833,,,,,
-1.275641,36.8225987,Starehe,Ngara,garbage point,holding ground,public land,4.9,,,,,
-1.2756383,36.886252,Embakasi West,Mowlem,garbage point,bin,public land,4.5,,,More bins to be utilised for the temporary holding of garbage from the market,,More bins to be utilised for the temporary holding of garbage from the market
-1.2751579,36.8233654,Starehe,Ngara,garbage point,illegal dumping,public land,4.6,,,,,
-1.2739626,36.7505761,Westlands,Mountain View,garbage point,illegal dumping,public land,3.85,,,,,
-1.2737232,36.7509314,Westlands,Mountain View,garbage point,illegal dumping,public land,2.907,,,,,
-1.273634,36.7887772,Dagoretti North,Kileleshwa,garbage point,holding ground,private,4.75,,,,,
-1.2736144,36.7886513,Dagoretti North,Kileleshwa,garbage point,holding ground,private,4.755,,,,,
-1.2735007,36.8840086,Embakasi West,Mowlem,garbage point,other,community,4.9,Proposed material recovery facility site,,When utilised will provide space for recycling,,When utilised will provide space for recycling
-1.273354,36.8878402,Embakasi West,Mowlem,garbage point,illegal dumping,community,33.312,,,Health hazard,,Health hazard
-1.2726043,36.8265547,Starehe,Ngara,garbage point,other,private,4.7,Handcart,,,,
-1.2724767,36.8934208,Embakasi West,Mowlem,garbage point,illegal dumping,public land,7.0,,,Road side dumping,,Road side dumping
-1.2724559,36.8283543,Starehe,Ngara,garbage point,illegal dumping,community,4.166,,,,,
-1.2720478,36.8839119,Embakasi West,Mowlem,garbage point,collection point,private,13.72,,,,,
-1.2715148,36.8503833,Kamukunji,Airbase,garbage point,holding ground,public land,4.901,,,,,
